Row.names	WT1	WT2	WT4	SH1	SH2	SH3	SH4	SH5
0610009B22Rik	408	504	380	471	398	314	306	359
0610010K14Rik	18	19	7	27	24	21	16	10
0610012G03Rik	224	299	511	216	214	241	223	190
0610030E20Rik	778	660	373	733	819	851	763	715
0610040J01Rik	3	5	4	8	7	4	5	7
1110002E22Rik	6	4	4	2	2	3	0	1
1110004F10Rik	2081	2619	2082	2979	2537	2375	2055	2317
1110017D15Rik	1	2	2	2	2	7	5	0
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	172	171	123	230	179	157	126	131
1110032F04Rik	10	15	12	21	13	2	8	7
1110038F14Rik	380	457	451	343	377	289	348	279
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	597	829	385	945	667	649	509	686
1110059G10Rik	370	539	296	306	267	269	274	258
1110065P20Rik	45	60	81	53	43	34	35	53
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	30	39	51	38	23	26	30	44
1500009L16Rik	6	3	5	5	2	2	4	0
1500011B03Rik	76	138	77	86	65	42	35	52
1520401A03Rik	0	2	5	12	2	8	4	2
1600012H06Rik	669	716	556	657	672	694	698	566
1600014C10Rik	622	582	476	341	477	463	464	417
1600014C23Rik	0	0	2	0	2	2	0	0
1700001C19Rik	0	1	1	0	4	1	1	0
1700001F09Rik	1	0	0	1	1	0	0	0
1700001J03Rik	2	1	3	9	1	6	2	4
1700001K19Rik	8	5	4	6	11	8	6	7
1700001L19Rik	2	8	2	0	3	5	1	1
1700001O22Rik	2	7	65	8	32	48	1	2
1700001P01Rik	8	5	7	13	8	12	15	8
1700003E16Rik	3	3	11	1	8	10	8	5
1700003F12Rik	16	14	24	24	16	11	7	12
1700003H04Rik	0	0	0	0	0	0	0	0
1700006A11Rik	1	2	0	0	0	0	0	0
1700008O03Rik	1	1	0	0	0	3	0	1
1700009N14Rik	1	0	0	1	0	0	3	2
1700010B08Rik	0	0	0	1	0	1	0	0
1700010I14Rik	8	9	6	3	7	7	2	6
1700011L22Rik	1	0	0	0	0	0	1	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	1	0	0	0	0	0	0
1700012B09Rik	971	1074	1197	1526	1515	1033	1077	1123
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	1	0	2	7	2	7
1700014B07Rik	0	0	0	0	0	0	0	0
1700014D04Rik	0	2	5	6	0	2	3	1
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	1	0	0	0	3	1	0	1
1700016D06Rik	0	0	0	0	2	0	0	1
1700016H13Rik	0	1	1	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0
1700017B05Rik	814	876	880	708	729	720	671	598
1700017N19Rik	0	0	1	0	0	0	0	0
1700018B08Rik	0	0	0	1	0	0	0	2
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0
1700019D03Rik	6	4	1	2	5	6	4	0
1700019N19Rik	0	0	0	0	1	1	0	1
1700020A23Rik	1	0	0	0	0	0	0	0
1700020L13Rik	2	0	3	1	2	4	1	0
1700020L24Rik	3	3	7	2	1	1	1	1
1700020N01Rik	0	0	0	1	1	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	1	0	0	0	0	0
1700024B05Rik	2	2	6	47	35	38	27	27
1700024G13Rik	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025G04Rik	512	671	640	437	454	451	444	485
1700028J19Rik	5	22	16	9	14	7	5	5
1700028K03Rik	2	2	2	3	2	1	4	1
1700029F12Rik	0	0	0	0	0	0	0	0
1700029H14Rik	0	1	0	3	2	0	0	2
1700029I15Rik	14	8	17	5	7	15	10	10
1700029J07Rik	36	29	36	24	38	29	32	25
1700030J22Rik	14	14	13	13	10	15	25	6
1700030K09Rik	337	330	286	392	339	339	304	288
1700031F05Rik	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	1	0	3	1	1	0
1700034J05Rik	0	0	0	0	0	0	0	0
1700037C18Rik	46	29	55	34	22	26	20	17
1700037H04Rik	417	487	711	457	438	355	453	368
1700040F15Rik	0	0	0	0	0	0	0	0
1700049E17Rik1	4	2	0	0	3	3	0	0
1700049E17Rik2	0	0	0	1	1	0	0	0
1700056E22Rik	12	8	20	4	15	15	10	6
1700057G04Rik	1	6	4	8	9	6	1	5
1700064H15Rik	0	1	0	0	0	0	0	0
1700066B19Rik	8	12	2	4	2	2	3	1
1700066M21Rik	307	332	174	277	247	324	253	291
1700067K01Rik	12	6	9	14	8	7	11	3
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	2	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0
1700088E04Rik	13	8	7	22	11	13	18	28
1700092M07Rik	0	1	3	1	2	2	3	1
1700093K21Rik	0	0	2	1	2	0	0	0
1700102P08Rik	13	10	8	5	3	7	10	5
